"Species","CommonName_new","Status","Locality"
"parvidens"," Utah Prairie Dog","Threatened","Guyana, East Demerara-West Coast Berbice, ""Hyde Park, 30 miles [48 km] up the Demerara River."""
"cynocephalus"," Tasmanian Tiger","Endangered","Australia, Tasmania."
"fasciatus","Numbat","Endangered","Australia, Western Australia, Mt. Kokeby, south of Beverley."
"fasciatus"," Banded Hare Wallaby","Endangered","Australia, Western Australia, Mt. Kokeby, south of Beverley."
"viverrinus"," Eastern Native-Cat","Endangered","Australia, New South Wales, Sydney."
"apicalis","Dibbler","Endangered","Australia, SW Western Australia."
"longicaudata"," Long-Tailed Marsupial-Mouse","Endangered","Indonesia, Aru Islands, Wonumbai."
"laniger"," Eastern Jerboa Marsupial","Endangered","Australia, interior New South Wales."
"leucopus"," White-Footed Tamarin","Threatened","Australia, Tasmania."
"longicaudata"," Long-Tailed Marsupial-Mouse","Endangered","Australia, Western Australia."
"psammophila"," Large Desert Marsupial-Mouse","Endangered","Australia, Northern Territory, Lake Amadeus."
"tenuirostris"," Southern Planigale","Endangered","Australia, ""collected at Bourke or Wilcannia, New South Wales""."
"lagotis"," Rabbit Bandicoot","Endangered","Australia, Western Australia, Swan River."
"leucura"," Lesser Rabbit Bandicoot","Endangered","Undesignated; as the specimen was sent by the South Australian Museum's taxidermist to London, Thomas (1887<i>a</i>) thought it might have originated near Adelaide or in the northern part of South Australia, whence others in the same collection had come."
"ecaudatus"," Pig-Footed Bandicoot","Endangered","Australia, New South Wales, banks of Murray River, south of the junction with Murrumbridge River."
"bougainville"," Barred Bandicoot","Endangered","Australia, Western Australia, Shark Bay, Peron Peninsula."
"eremiana"," Desert Bandicoot","Endangered","Australia, Northern Territory, Burt Plain (N of Alice Springs)."
"cinereus","Koala","Threatened","Australia, New South Wales."
"parvus"," Mountain Pygmy Possum","Endangered","Australia, New South Wales, Taralga (fossil)."
"squamicaudata"," Scaly-Tailed Possum","Endangered","Australia, Western Australia, Wyndham."
"cinereus","Koala","Threatened","Australia, Queensland, Mt. Spurgeon."
"larvatus"," Proboscis Monkey","Endangered","Papua New Guinea, Huon Peninsula, Rawlinson Mtns."
"leadbeateri"," Leadbeater'S Possum","Endangered","Australia, Victoria, Bass River."
"australis"," Southern Right Whale","Endangered","Australia, New South Wales, Sydney."
"pygmaeus"," Lesser Slow Loris","Threatened","Australia, New South Wales, Sydney."
"pygmaeus","Orangutan","Endangered","Australia, New South Wales, Sydney."
"gaimardi"," Gaimard'S Rat-Kangaroo","Endangered","Australia, New South Wales, Port Jackson."
"lesueur"," Lesuer'S Rat-Kangaroo","Endangered","Australia, Western Australia, Dirk Hartog Isl (Shark Bay)."
"penicillata"," Brush-Tailed Rat-Kangaroo","Endangered","Australia, New South Wales."
"tropica"," Queensland Rat-Kangaroo","Endangered","Australia, Queensland, Mt. Spurgeon."
"campestris"," Desert (=Plain) Rat-Kangaroo","Endangered","Australia, South Australia."
"fasciatus","Numbat","Endangered","Australia, Western Australia, Bernier Isl (Shark Bay)."
"fasciatus"," Banded Hare Wallaby","Endangered","Australia, Western Australia, Bernier Isl (Shark Bay)."
"hirsutus"," Western Hare Wallaby","Endangered","Australia, Western Australia, York district."
"parma"," Parma Wallaby","Endangered","Australia, New South Wales."
"robustus"," Gray [Western North Pacific Dps] Whale","Endangered","Australia, New South Wales, interior (summit of mountains)."
"rufus"," Red Wolf","Endangered","Australia, New South Wales, Blue Mtns."
"rufus"," Red Wolf","XN","Australia, New South Wales, Blue Mtns."
"fraenata"," Brindled Nail-Tailed Wallaby","Endangered","Australia, New South Wales, interior."
"lunata"," Crescent Nail-Tailed Wallaby","Endangered","Australia, Western Australia, coast."
"penicillata"," Brush-Tailed Rat-Kangaroo","Endangered","Australia, New South Wales, Sydney."
"xanthopus"," Yellow-Footed Rock Wallaby","Endangered","Australia, South Australia, Flinders Range."
"brachyurus","Quokka","Endangered","Australia, Western Australia, King George Sound (Albany)."
"brachyurus"," Maned Wolf","Endangered","Australia, Western Australia, King George Sound (Albany)."
"bicolor"," Pied Tamarin","Endangered","Unknown."
"longicaudata"," Long-Tailed Marsupial-Mouse","Endangered","Ankfana forest, E Betsileo, Madagascar [Ankafina, Fianarantsoa, Fianarantsoa Province, 2112S 4712E (see MacPhee, 1987; Carleton and Schmidt, 1990)]."
"ecaudatus"," Pig-Footed Bandicoot","Endangered","Madagascar."
"maximus"," Giant Armadillo","Endangered","""Zeylonae"" [Sri Lanka]."
"maximus"," Asian Elephant","Endangered","""Zeylonae"" [Sri Lanka]."
"africana"," African Elephant","Threatened","Restricted to the Orange River, South Africa by Pohle (1926; see Allen, 1939)."
"dugon","Dugong","Endangered","Cape of Good Hope to the Philippines."
"inunguis"," Amazonian Manatee","Endangered","Brazil, Amazonas, Rio Madeira, Borba."
"manatus"," West Indian Manatee","Threatened","""Mari Americano""; restricted by Thomas (1911<i>a</i>) to ""West Indies."""
"senegalensis"," West African Manatee","Threatened","Senegal"
"truncatus"," Pink Fairy Armadillo","Endangered","""Mendoza . . . interior of Chili, on the east of the Cordilleras, in lat. 3325' and long. 6947', in the province of Cuyo;"" restricted to Ro Tunuyn, 3325'S, 6945'W, Mendoza, Argentina, by Cabrera (1958)."
"maximus"," Giant Armadillo","Endangered","French Guiana, ""Cayenne."""
"maximus"," Asian Elephant","Endangered","French Guiana, ""Cayenne."""
"pygmaeus"," Lesser Slow Loris","Threatened","Panam, Bocas del Toro, ""Isla Escudo de Veraguas, West Point."""
"pygmaeus","Orangutan","Endangered","Panam, Bocas del Toro, ""Isla Escudo de Veraguas, West Point."""
"torquatus"," White-Collared Mangabey","Endangered","""Brasilia;"" restricted to the Atlantic drainage of the Brazilian states of Bahia, Esprito Santo, and Rio de Janeiro, by Wetzel and Avila-Pires (1980)."
"torquatus"," Brazilian Three-Toed Sloth","Endangered","""Brasilia;"" restricted to the Atlantic drainage of the Brazilian states of Bahia, Esprito Santo, and Rio de Janeiro, by Wetzel and Avila-Pires (1980)."
"rufus"," Red Wolf","Endangered","Madagascar."
"rufus"," Red Wolf","XN","Madagascar."
"rufus"," Red Wolf","Endangered","Madagascar."
"rufus"," Red Wolf","XN","Madagascar."
"occidentalis"," Western Mouse","Endangered","North and West of Madagascar."
"leucopus"," White-Footed Tamarin","Threatened","Madagascar, Fort Dauphin (Bevilany)."
"septentrionalis"," Northern Long-Eared Bat","Threatened","Madagascar, Sahafary Forest."
"laniger"," Eastern Jerboa Marsupial","Endangered","Madagascar."
"occidentalis"," Western Mouse","Endangered","Madagascar, Ambondrobe, NE of Bombetoka Bay, ca. 1538S, 4624E (according to lectotype selection by Thalmann and Geissmann, 2000)."
"madagascariensis","Aye-aye","Endangered","NW Madagascar."
"pygmaeus"," Lesser Slow Loris","Threatened","Vietnam, Nhatrang."
"pygmaeus","Orangutan","Endangered","Vietnam, Nhatrang."
"senegalensis"," West African Manatee","Threatened","Senegal."
"syrichta"," Philippine Tarsier","Threatened","Philippine Isls, Samar Isl."
"goeldii"," Goeldi'S Marmoset","Endangered","Brazil, Acre, Rio Yaco."
"flaviceps"," Buff-Headed Marmoset","Endangered","Brazil, Rive, Esprito Santo."
"penicillata"," Brush-Tailed Rat-Kangaroo","Endangered","Brazil, Lamaro, Bahia."
"bicolor"," Pied Tamarin","Endangered","Brazil, Manaus, Barra de Rio Negro."
"leucopus"," White-Footed Tamarin","Threatened","Colombia, Antioquia, Medellin."
"oedipus"," Cotton-Top Marmoset","Endangered","Colombia, Bolivar, lower Rio Sinu."
"oerstedii"," Red-Backed Squirrel Monkey","Endangered","Panama, Chiriqu, vicinity of David."
"torquatus"," White-Collared Mangabey","Endangered","Brazil, Codajs, north bank of Rio Solimes."
"torquatus"," Brazilian Three-Toed Sloth","Endangered","Brazil, Codajs, north bank of Rio Solimes."
"albinasus"," White-Nosed Saki","Endangered","Brazil, Par, Santarm."
"satanas"," Black Colobus Monkey","Endangered","Brazil, Par, lower Rio Tocantins, Camet."
"monachus"," Mediterranean Monk Seal","Endangered","Brazil, left bank of Rio Solimes between Tabatinga and Rio Tocantins."
"palliata"," Mantled Howler Monkey","Endangered","Nicaragua, Lake Nicaragua."
"pigra"," Black Howler Monkey","Threatened","Guatemala, Petn, Uaxactun."
"paniscus"," Pygmy Chimpanzee","Endangered","French Guiana."
"arachnoides"," Woolly Spider Monkey","Endangered","Brazil, Rio de Janeiro."
"flavicauda"," Yellow-Tailed Woolly Monkey","Endangered","Peru, San Martin, Puca Tambo, 5100 ft. (1555 m)."
"torquatus"," White-Collared Mangabey","Endangered","West Africa."
"torquatus"," Brazilian Three-Toed Sloth","Endangered","West Africa."
"diana"," Diana Monkey","Endangered","Liberia."
"erythrogaster"," Red-Bellied Monkey","Endangered","""West Africa""; restricted by Groves (2001<i>c</i>:214) to Benin, Lama Forest."
"erythrotis"," Red-Eared Nose-Spotted Monkey","Endangered","Equatorial Guinea, Bioko."
"lhoesti"," L'Hoest'S Monkey","Endangered","Dem. Rep. Congo, Tschepo River, near Stanleyville."
"arctoides"," Stump-Tailed Macaque","Threatened","""Cochin-China"" (Indochina)."
"cyclopis"," Formosan Rock Macaque","Threatened","Taiwan, Jusan, Takao Pref."
"fuscata"," Japanese Macaque","Threatened","Japan."
"silenus"," Lion-Tailed Macaque","Endangered","""Ceylon"" India, Western Ghats; see Osman Hill (1974:652)."
"sinica"," Toque Macaque","Threatened","Probably Sri Lanka; see Fooden (1979)."
"cynocephalus"," Tasmanian Tiger","Endangered","Kenya, inland from Mombasa."
