,Species,Family,Common_name,Locality,Status,Extinct
0,aculeatus,Tachyglossidae,Short-beaked Echidna,"Australia, New South Wales, New Holland (= Sydney).",Lower risk,False
1,attenboroughi,Tachyglossidae,Sir Davids Long-beaked Echidna.,"Indonesia, Prov. of Papua (= Irian Jaya), Cyclops Mtns, ""Oost-top, Berg Rara, 1600 m"".",Check Appendix,False
2,bartoni,Tachyglossidae,Eastern Long-beaked Echidna,"Papua New Guinea, Albert Edward Range, Mount Victoria, 8,000 ft (2438 m).",Endangered,False
3,bruijni,Tachyglossidae,Western Long-beaked Echidna.,"Indonesia, Prov. of Papua (= Irian Jaya), Vogelkop, Manokwari Div., Arfak Mtns.",Endangered,False
4,anatinus,Ornithorhynchidae,Platypus.,"Australia, New South Wales, New Holland (= Sydney).",Lower risk,False
5,derbianus,Didelphidae,Derbys Woolly Opossum,"None given; restricted to Colombia, Cauca, Cauca Valley (Cabrera, 1958:2).",Vulnerable,False
6,lanatus,Didelphidae,Brown-eared Woolly Opossum,"""Paraguay;"" restricted to Caazap, Caazap (Cabrera, 1916).",Lower risk,False
7,philander,Didelphidae,Bare-tailed Woolly Opossum,"""America;"" restricted to Surinam (Thomas, 1911<i>a</i>).",Lower risk,False
8,irrupta,Didelphidae,Black-shouldered Opossum,"Per, Cuzco, ""Quincemil, Province of Quispicanchis.""",Vulnerable,False
9,venusta,Didelphidae,Bushy-tailed Opossum,"Per, Pasco, ""Pozuzo.""",Vulnerable,False
10,minimus,Didelphidae,Water Opossum,"""Gujana;"" restricted to Cayenne, French Guiana (Cabrera, 1958:44).",Lower risk,False
11,albiventris,Didelphidae,White-eared Opossum,"Brazil, Minas Gerais, ""Rio das Velhas,"" Lagoa Santa.",Lower risk,False
12,aurita,Didelphidae,Big-eared Opossum,"Brazil, Bahia, ""Villa Viosa am Flusse Paruhype.""",Lower risk,False
13,marsupialis,Didelphidae,Common Opossum,"""America;"" restricted to Surinam (Thomas, 1911<i>a</i>).",Lower risk,False
14,virginiana,Didelphidae,Virginia Opossum,"""Virginia, Louisiana, Mexico, Brasil, and Peru;"" restricted to Virginia (J. A. Allen, 1901:160<i>c</i>).",Lower risk,False
15,aceramarcae,Didelphidae,Aceramarca Gracile Opossum,"Bolivia, La Paz, ""Rio Aceramarca, tributary of Rio Unduavi, Yungas.""",Endangered,False
16,agilis,Didelphidae,Agile Gracile Opossum,"Brazil, Minas Gerais, ""Lagoa Santa.""",Lower risk,False
17,dryas,Didelphidae,Wood Sprite Gracile Opossum,"Venezuela, Mrida, ""Culata.""",Vulnerable,False
18,emiliae,Didelphidae,Emilias Gracile Opossum,"Brazil, ""Para.""",Vulnerable,False
19,marica,Didelphidae,Northern Gracile Opossum,"Venezuela, Mrida, ""R. Albarregas.""",Lower risk,False
20,microtarsus,Didelphidae,Brazilian Gracile Opossum,"Brazil, So Paulo, ""Ypanema.""",Lower risk,False
21,kalinowskii,Didelphidae,Kalinowskis Mouse Opossum,"Per, Cuzco, ""Hacienda Cadena, Marcapata.""",Data Deficiency,False
