ScientificName,Status,Family,Species,CommonName_new
Addax nasomaculatus,Endangered,Addax,nasomaculatus,Addax
Bubalus depressicornis,Endangered,Bubalus,depressicornis, Lowland Anoa
Bubalus quarlesi,Endangered,Bubalus,quarlesi, Mountain Anoa
Hippotragus niger variani,Endangered,Hippotragus,niger variani, Giant Sable Antelope
Panthalops hodgsonii,Endangered,Panthalops,hodgsonii, Tibetan Antelope
Ovis ammon,Endangered,Ovis,ammon," Mongolia, And Tajikistan] Argali [All Populations Except Kyrgyzstan"
Ovis ammon,Threatened,Ovis,ammon," Mongolia, And Tajikistan] Argali [Kyrgyzstan"
Priodontes maximus,Endangered,Priodontes,maximus, Giant Armadillo
Chlamyphorus truncatus,Endangered,Chlamyphorus,truncatus, Pink Fairy Armadillo
Equus africanus,Endangered,Equus,africanus, African Wild Ass
Equus hemionus,Endangered,Equus,hemionus, Asian Wild Ass
Avahi laniger(=entire genus),Endangered,Avahi,laniger(=entire genus),Avahi
Daubentonia madagascariensis,Endangered,Daubentonia,madagascariensis,Aye-aye
Babyrousa babyrussa,Endangered,Babyrousa,babyrussa,Babirusa
Theropithecus gelada,Threatened,Theropithecus,gelada, Gelada Baboon
Perameles bougainville,Endangered,Perameles,bougainville, Barred Bandicoot
Perameles eremiana,Endangered,Perameles,eremiana, Desert Bandicoot
Macrotis leucura,Endangered,Macrotis,leucura, Lesser Rabbit Bandicoot
Chaeropus ecaudatus,Endangered,Chaeropus,ecaudatus, Pig-Footed Bandicoot
Macrotis lagotis,Endangered,Macrotis,lagotis, Rabbit Bandicoot
Bos javanicus,Endangered,Bos,javanicus,Banteng
Aproteles bulmerae,Endangered,Aproteles,bulmerae, Bulmer'S Fruit (Flying Fox) Bat
Craseonycteris thonglongyai,Endangered,Craseonycteris,thonglongyai, Bumblebee Bat
Eumops floridanus,Endangered,Eumops,floridanus, Florida Bonneted Bat
Myotis grisescens,Endangered,Myotis,grisescens, Gray Bat
Lasiurus cinereus semotus,Endangered,Lasiurus,cinereus semotus, Hawaiian Hoary Bat
Myotis sodalis,Endangered,Myotis,sodalis, Indiana Bat
Pteropus tokudae,Endangered,Pteropus,tokudae, Little Mariana Fruit Bat
Pteropus mariannus mariannus,Threatened,Pteropus,mariannus mariannus," Mariana (=Fanihi, Mariana Flying Fox) Fruit Bat"
Leptonycteris nivalis,Endangered,Leptonycteris,nivalis, Mexican Long-Nosed Bat
Myotis septentrionalis,Threatened,Myotis,septentrionalis, Northern Long-Eared Bat
Corynorhinus (=Plecotus) townsendii ingens,Endangered,Corynorhinus,(=Plecotus) townsendii ingens, Ozark Big-Eared Bat
Emballonura semicaudata rotensis,Endangered,Emballonura,semicaudata rotensis," Pacific Sheath-Tailed (Mariana Subspecies) (Payeyi, Paischeey) Bat"
Emballonura semicaudata semicaudata,Endangered,Emballonura,semicaudata semicaudata," Pacific Sheath-Tailed (South Pacific Subspecies) (= Peapea Vai, American Samoa; = Tagiti, Samoa; = Beka Beka, Fiji) Bat"
Pteropus rodricensis,Endangered,Pteropus,rodricensis, Rodrigues Fruit (Flying Fox) Bat
Hipposideros ridleyi,Endangered,Hipposideros,ridleyi, Singapore Roundleaf Horseshoe Bat
Corynorhinus (=Plecotus) townsendii virginianus,Endangered,Corynorhinus,(=Plecotus) townsendii virginianus, Virginia Big-Eared Bat
Ursus thibetanus gedrosianus,Endangered,Ursus,thibetanus gedrosianus, Baluchistan Bear
Ursus arctos arctos,Endangered,Ursus,arctos arctos, Brown [Italy] Bear
Ursus arctos pruinosus,Endangered,Ursus,arctos pruinosus, Brown Bear
Ursus arctos horribilis,Threatened,Ursus,arctos horribilis, Grizzly Bear
Ursus arctos horribilis,XN,Ursus,arctos horribilis, Grizzly Bear
Ursus arctos,Endangered,Ursus,arctos, Mexican Grizzly Bear
Ursus maritimus,Threatened,Ursus,maritimus, Polar Bear
Castor fiber birulai,Endangered,Castor,fiber birulai,Beaver (Mongolia)
Bison bison athabascae,Threatened,Bison,bison athabascae, Wood Bison
Bison bison athabascae,XN,Bison,bison athabascae, Wood Bison
Lynx (=Felis) rufus escuinapae,Endangered,Lynx,(=Felis) rufus escuinapae, Mexican Bobcat
Damaliscus pygarus (=dorcas) dorcas,Endangered,Damaliscus,pygarus (=dorcas) dorcas,Bontebok (antelope)
Camelus bactrianus,Endangered,Camelus,bactrianus, Bactrian Camel
Rangifer tarandus caribou,Endangered,Rangifer,tarandus caribou, Woodland [Southern Selkirk Mountains Dps] Caribou
Felis jacobita,Endangered,Felis,jacobita, Andean Cat
Catopuma (=Felis) temminckii,Endangered,Catopuma,(=Felis) temminckii, Asian Golden (=Temminck'S) Cat
Felis nigripes,Endangered,Felis,nigripes, Black-Footed Cat
Prionailurus (=Felis) planiceps,Endangered,Prionailurus,(=Felis) planiceps, Flat-Headed Cat
Prionailurus (=Felis) bengalensis iriomotensis,Endangered,Prionailurus,(=Felis) bengalensis iriomotensis, Iriomote Cat
Prionailurus (=Felis) bengalensis bengalensis,Endangered,Prionailurus,(=Felis) bengalensis bengalensis, Leopard Cat
Pardofelis (=Felis) marmorata,Endangered,Pardofelis,(=Felis) marmorata, Marbled Cat
Felis margarita scheffeli,Endangered,Felis,margarita scheffeli, Pakistan Sand Cat
