Country name,1990 sq km thousands forest area,2016 sq km thousands forest area,2018 threatened mammals,2018 threatened birds,2018 threatened fishes,2018 higher plants,% of total protected land area 2017,% of protected territorial waters
Afghanistan ,14,14,11,16,4,5,0.1,NA
Albania ,8,8,3,8,44,4,17.7,2.7
Algeria ,17,20,14,15,41,22,7.5,0.1
American Samoa ,0,0,1,8,12,1,15.8,8.7
Andorra ,0,0,2,3,0,0,26.7,NA
Angola ,610,577,18,32,53,34,7.0,0.0
Antigua And Barbuda ,0,0,2,3,31,4,18.6,0.2
Argentina ,348,268,38,52,42,70,8.8,3.8
Armenia ,3,3,9,14,3,74,23.1,NA
Aruba ,0,0,2,2,24,2,18.9,0.0
Australia ,"1,285","1,251",63,52,125,108,19.3,40.6
Austria ,38,39,3,13,11,17,28.4,NA
Azerbaijan ,9,12,8,17,14,44,10.2,0.4
"Bahamas, The ",5,5,5,10,43,7,36.6,7.9
Bahrain ,0,0,3,7,14,0,6.6,1.2
Bangladesh ,15,14,37,36,29,23,4.6,5.4
Barbados ,0,0,3,4,29,3,1.3,0.0
Belarus ,78,87,4,9,2,1,9.4,NA
Belgium ,7,7,2,8,13,0,23.3,36.7
Belize ,16,14,10,6,45,46,37.7,10.1
Benin ,58,43,13,12,40,20,29.6,0.0
Bermuda ,0,0,4,3,27,8,2.1,0.0
Bhutan ,25,28,25,21,3,43,48.0,NA
Bolivia ,628,545,21,55,8,106,30.9,NA
Bosnia And Herzegovina ,22,22,4,7,36,3,1.4,0.0
Botswana ,137,107,11,16,2,3,29.1,NA
Brazil ,"5,467","4,926",80,175,93,558,29.4,26.6
Brunei Darussalam ,4,4,33,31,14,127,46.9,0.2
Bulgaria ,33,38,8,17,22,9,34.7,8.1
Burkina Faso ,68,53,9,12,4,4,14.9,NA
Burundi ,3,3,14,15,17,89,7.6,NA
Cabo Verde ,1,1,4,7,35,51,2.9,0.0
Cambodia ,129,93,39,31,48,37,26.0,0.2
Cameroon ,243,186,46,29,122,555,10.6,3.4
Canada ,"3,483","3,470",18,24,44,18,9.7,0.9
Cayman Islands ,0,0,1,3,31,22,10.8,0.1
Central African Republic ,226,222,16,16,3,26,18.1,NA
Chad ,67,47,16,16,1,6,20.4,NA
Channel Islands ,0,0,NA,NA,NA,NA,NA,NA
Chile ,153,180,19,35,27,73,18.5,28.8
China ,"1,571","2,099",73,96,136,593,15.4,5.4
"Hong Kong Sar, China .. .. ",4,21,15,10,41.9,NA,NA,NA
"Macao Sar, China .. .. ",0,4,9,0,NA,NA,NA,NA
Colombia ,644,585,58,126,99,268,14.8,17.1
Comoros ,0,0,5,14,11,9,10.2,0.0
"Congo, Dem. Rep. ","1,604","1,523",32,42,94,148,13.8,0.2
"Congo, Rep. ",227,223,15,7,57,46,40.7,3.2
Costa Rica ,26,28,11,27,64,143,27.6,0.8
Cote D'Ivoire ,102,104,31,25,59,118,22.9,0.1
Croatia ,19,19,9,14,64,8,38.3,8.5
Cuba ,21,33,10,19,44,179,16.6,4.3
Curacao .. .. ,3,2,28,2,15.5,0.0,NA,NA
Cyprus ,2,2,6,7,24,22,18.7,0.1
Czech Republic ,26,27,3,9,2,26,22.2,NA
Denmark ,5,6,2,9,18,1,18.1,17.8
Djibouti ,0,0,11,12,23,3,1.6,0.2
Dominica ,1,0,3,7,31,12,22.0,0.1
Dominican Republic ,11,20,7,17,29,47,26.2,18.0
Ecuador ,146,125,47,106,61,"1,859",21.7,13.3
"Egypt, Arab Rep. ",0,1,18,14,58,8,13.1,5.0
El Salvador ,4,3,6,7,17,33,8.8,0.7
Equatorial Guinea ,19,16,23,6,44,98,19.3,0.2
Eritrea ,16,15,15,21,29,6,4.9,0.0
Estonia ,22,22,1,9,5,0,20.2,18.6
Eswatini ,5,6,9,13,5,13,4.2,NA
Ethiopia ,147,125,34,35,14,64,18.5,NA
Faroe Islands ,0,0,4,6,13,0,2.3,0.0
Fiji ,10,10,7,14,20,78,5.4,0.9
Finland ,219,222,2,11,6,2,15.0,10.5
France ,144,171,9,16,53,47,25.8,45.0
French Polynesia ,1,2,0,35,28,48,2.0,0.0
Gabon ,220,232,18,7,72,173,22.4,28.8
"Gambia, The ",4,5,10,14,35,6,4.1,0.1
Georgia ,28,28,9,14,11,63,8.3,0.7
Germany ,113,114,5,11,24,36,37.8,45.4
Ghana ,86,94,21,23,58,119,15.1,0.1
Greece ,33,41,10,17,80,72,35.2,4.5
Greenland ,0,0,9,6,9,1,41.2,4.5
Grenada ,0,0,3,2,29,3,9.8,0.1
Guam ,0,0,3,14,14,5,22.5,0.0
Guatemala ,47,35,15,17,41,120,20.0,0.9
Guinea ,73,63,30,20,76,70,35.6,0.5
