Country_name,1990_sq_km_thousands_forest_area,2016_sq_km_thousands_forest_area,2018_threatened_mammals,2018_threatened_birds,2018_threatened_fishes,2018_higher_plants,prot_perc_2015,prot_perc_2016,prot_perc_2017,prot_perc_2018,prot_perc_2019,prot_perc_2020
Argentina,348,268,38,52,42,70,8.27,8.29,8.33,8.39,8.39,8.39
Armenia,3,3,9,14,3,74,24.11,24.11,24.11,24.11,24.11,24.11
Australia,"1,285","1,251",63,52,125,108,18.14,18.85,19.1,19.2,19.2,19.2
Austria,38,39,3,13,11,17,27.97,28.45,28.45,28.54,28.54,28.54
Belarus,78,87,4,9,2,1,9.73,9.73,9.73,9.73,9.73,9.73
Belgium,7,7,2,8,13,0,24.93,24.93,24.97,24.97,24.97,24.97
Brazil,"5,467","4,926",80,175,93,558,29.15,29.48,29.48,29.8,29.8,29.8
Bulgaria,33,38,8,17,22,9,40.43,40.43,40.43,40.43,40.43,40.43
Canada,"3,483","3,470",18,24,44,18,10.59,10.62,10.65,10.99,11.02,11.02
Chile,153,180,19,35,27,73,14.88,14.88,14.88,15.61,17.67,17.67
China,"1,571","2,099",73,96,136,593,0.95,0.96,1.42,1.72,1.72,1.72
Colombia,644,585,58,126,99,268,15.95,16.05,16.29,16.91,16.96,16.96
"Costa Rica",26,28,11,27,64,143,30.35,30.35,30.35,30.35,30.35,30.35
Croatia,19,19,9,14,64,8,36.62,36.63,36.63,36.63,36.63,36.63
Cyprus,2,2,6,7,24,22,37.16,38.69,38.69,38.69,38.69,38.69
"Czech Republic",26,27,3,9,2,26,21.88,21.9,21.91,21.91,21.91,21.91
Denmark,5,6,2,9,18,1,14.46,14.47,14.47,14.55,14.55,14.55
"Dominican Republic",11,20,7,17,29,47,27.01,27.02,27.02,27.02,27.02,27.02
Ecuador,146,125,47,106,61,"1,859",18.97,18.98,21.4,21.53,21.64,21.64
Estonia,22,22,1,9,5,0,18.13,18.14,18.25,18.37,18.37,18.37
Finland,219,222,2,11,6,2,13.13,13.14,13.27,13.27,13.27,13.27
France,144,171,9,16,53,47,24.7,24.71,24.92,26.11,26.11,26.11
Georgia,28,28,9,14,11,63,9.31,9.31,9.31,9.31,9.32,9.32
Germany,113,114,5,11,24,36,36.15,36.68,37.12,37.13,37.13,37.13
Greece,33,41,10,17,80,72,34.81,34.81,34.81,34.81,34.81,34.81
Hungary,18,21,3,13,9,43,22.62,22.62,22.62,22.62,22.62,22.62
Iceland,0,1,6,7,16,0,20.61,20.69,20.69,20.69,20.69,20.69
India,639,709,93,93,227,396,5.64,5.64,5.64,5.64,5.64,5.64
Indonesia,"1,185",903,191,160,166,458,12.16,12.17,12.17,12.17,12.17,12.17
Ireland,5,8,5,9,28,3,13.35,13.35,13.35,13.35,13.35,13.35
Israel,1,2,15,18,50,23,23.33,23.37,23.62,23.94,24.24,24.24
Italy,76,94,8,17,52,102,21.13,21.14,21.17,21.17,21.17,21.17
Japan,250,250,29,49,77,50,20.05,20.05,20.05,20.05,20.05,20.05
Kazakhstan,34,33,16,27,14,14,3.51,3.54,3.54,3.54,3.54,3.54
Latvia,32,34,1,11,6,0,17.95,17.95,17.95,17.95,17.95,17.95
Lithuania,19,22,2,10,6,1,16.78,16.82,16.82,16.82,16.82,16.82
Luxembourg,1,1,0,3,1,0,45.67,51.37,51.37,51.37,51.37,51.37
Malta,0,0,2,5,22,4,20.91,20.91,20.96,20.96,20.96,20.96
Mexico,698,659,96,71,181,484,13.58,13.79,13.9,13.93,13.94,13.94
Moldova,3,4,4,11,8,2,4.35,4.35,4.35,4.35,4.35,4.35
Netherlands,3,4,3,10,15,1,18.24,18.68,20.66,21.36,21.36,21.36
"New Zealand",97,102,9,69,38,21,32.81,32.82,32.86,32.93,32.93,32.93
Norway,121,121,8,11,23,10,17.4,17.48,17.66,17.94,17.94,17.94
Paraguay,212,150,10,27,0,20,14.34,14.35,14.35,14.35,14.35,14.35
Peru,779,738,53,119,52,328,20.69,20.73,20.77,21.68,21.68,21.68
Poland,89,95,4,11,8,11,39.64,39.64,39.65,39.67,39.67,39.67
Portugal,34,32,13,15,67,101,22.3,22.3,22.3,22.3,22.3,22.3
Romania,64,69,9,17,22,7,25.19,25.39,25.39,25.39,25.39,25.39
"Saudi Arabia",10,10,11,18,41,4,4.74,4.74,4.74,4.74,4.74,4.74
"Slovak Republic",19,19,4,12,5,25,37.22,37.25,37.59,37.59,37.59,37.59
Slovenia,12,12,6,10,33,7,53.52,53.52,53.52,53.53,53.53,53.53
"South Africa",92,92,30,54,121,153,7.77,8.05,8.09,8.34,8.39,8.39
Spain,138,185,17,19,83,247,27.96,27.97,27.98,27.98,27.98,27.98
Sweden,281,281,1,11,15,5,13.71,13.79,13.97,14.18,14.2,14.2
Switzerland,12,13,3,9,9,4,10.03,10.04,10.26,10.27,10.27,10.27
Turkmenistan,41,41,10,19,13,4,3.48,3.48,3.48,3.48,3.48,3.48
Ukraine,93,97,11,17,24,22,4.31,4.31,4.31,4.31,4.31,4.31
"United Kingdom",28,32,5,11,48,42,27.59,27.62,27.63,27.63,27.63,27.63
"United States","3,025","3,104",40,91,251,510,12.54,12.54,12.54,12.54,12.54,12.54
Uruguay,8,19,10,22,45,22,3.48,3.48,3.48,3.48,3.62,3.62
Uzbekistan,30,32,10,19,7,16,3.36,3.36,3.36,3.36,3.36,3.36
