"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",18.14,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",18.85,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",19.1,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",19.2,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",19.2,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",19.2,
"AUT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",27.97,
"AUT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",28.45,
"AUT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",28.45,
"AUT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",28.54,
"AUT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",28.54,
"AUT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",28.54,
"BEL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",24.93,
"BEL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",24.93,
"BEL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",24.97,
"BEL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",24.97,
"BEL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",24.97,
"BEL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",24.97,
"CAN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",10.59,
"CAN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",10.62,
"CAN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",10.65,
"CAN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",10.99,
"CAN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",11.02,
"CAN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",11.02,
"CZE","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",21.88,
"CZE","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",21.9,
"CZE","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",21.91,
"CZE","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",21.91,
"CZE","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",21.91,
"CZE","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",21.91,
"DNK","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",14.46,
"DNK","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",14.47,
"DNK","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",14.47,
"DNK","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",14.55,
"DNK","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",14.55,
"DNK","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",14.55,
"FIN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",13.13,
"FIN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",13.14,
"FIN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",13.27,
"FIN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",13.27,
"FIN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",13.27,
"FIN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",13.27,
"FRA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",24.7,
"FRA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",24.71,
"FRA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",24.92,
"FRA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",26.11,
"FRA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",26.11,
"FRA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",26.11,
"DEU","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",36.15,
